student_no,full_name,email,date_of_birth,department,section
2023-0001,Student One,student1@plv.edu.ph,2005-01-01,Bachelor of Science in Information Technology,3-1
2023-0002,Student Two,student2@plv.edu.ph,2005-02-02,Bachelor of Science in Information Technology,3-1
2023-0003,Student Three,student3@plv.edu.ph,2005-03-03,Bachelor of Science in Information Technology,3-1
2023-0004,Student Four,student4@plv.edu.ph,2005-04-04,Bachelor of Science in Information Technology,3-1
2023-0005,Student Five,student5@plv.edu.ph,2005-05-05,Bachelor of Science in Information Technology,3-1
2023-0006,Student Six,student6@plv.edu.ph,2005-06-06,Bachelor of Science in Information Technology,3-1
2023-0007,Student Seven,student7@plv.edu.ph,2005-07-07,Bachelor of Science in Information Technology,3-1
2023-0008,Student Eight,student8@plv.edu.ph,2005-08-08,Bachelor of Science in Information Technology,3-1
2023-0009,Student Nine,student9@plv.edu.ph,2005-09-09,Bachelor of Science in Information Technology,3-1
2023-0010,Student Ten,student10@plv.edu.ph,2005-10-10,Bachelor of Science in Information Technology,3-1
2023-0011,Student Eleven,student11@plv.edu.ph,2005-11-11,Bachelor of Science in Information Technology,3-1
2023-0012,Student Twelve,student12@plv.edu.ph,2005-12-12,Bachelor of Science in Information Technology,3-1
2023-0013,Student Thirteen,student13@plv.edu.ph,2005-01-13,Bachelor of Science in Information Technology,3-1
2023-0014,Student Fourteen,student14@plv.edu.ph,2005-02-14,Bachelor of Science in Information Technology,3-1
2023-0015,Student Fifteen,student15@plv.edu.ph,2005-03-15,Bachelor of Science in Information Technology,3-1
2023-0016,Student Sixteen,student16@plv.edu.ph,2005-04-16,Bachelor of Science in Information Technology,3-1
2023-0017,Student Seventeen,student17@plv.edu.ph,2005-05-17,Bachelor of Science in Information Technology,3-1
2023-0018,Student Eighteen,student18@plv.edu.ph,2005-06-18,Bachelor of Science in Information Technology,3-1
2023-0019,Student Nineteen,student19@plv.edu.ph,2005-07-19,Bachelor of Science in Information Technology,3-1
2023-0020,Student Twenty,student20@plv.edu.ph,2005-08-20,Bachelor of Science in Information Technology,3-1
2023-0021,Student TwentyOne,student21@plv.edu.ph,2005-09-21,Bachelor of Science in Information Technology,3-1
2023-0022,Student TwentyTwo,student22@plv.edu.ph,2005-10-22,Bachelor of Science in Information Technology,3-1
2023-0023,Student TwentyThree,student23@plv.edu.ph,2005-11-23,Bachelor of Science in Information Technology,3-1
2023-0024,Student TwentyFour,student24@plv.edu.ph,2005-12-24,Bachelor of Science in Information Technology,3-1
2023-0025,Student TwentyFive,student25@plv.edu.ph,2005-01-25,Bachelor of Science in Information Technology,3-1
2023-0026,Student TwentySix,student26@plv.edu.ph,2005-02-26,Bachelor of Science in Information Technology,3-1
2023-0027,Student TwentySeven,student27@plv.edu.ph,2005-03-27,Bachelor of Science in Information Technology,3-1
2023-0028,Student TwentyEight,student28@plv.edu.ph,2005-04-28,Bachelor of Science in Information Technology,3-1
2023-0029,Student TwentyNine,student29@plv.edu.ph,2005-05-29,Bachelor of Science in Information Technology,3-1
2023-0030,Student Thirty,student30@plv.edu.ph,2005-06-30,Bachelor of Science in Information Technology,3-1
2023-0031,Student ThirtyOne,student31@plv.edu.ph,2005-07-01,Bachelor of Science in Information Technology,3-1
2023-0032,Student ThirtyTwo,student32@plv.edu.ph,2005-08-02,Bachelor of Science in Information Technology,3-1
2023-0033,Student ThirtyThree,student33@plv.edu.ph,2005-09-03,Bachelor of Science in Information Technology,3-1
2023-0034,Student ThirtyFour,student34@plv.edu.ph,2005-10-04,Bachelor of Science in Information Technology,3-1
2023-0035,Student ThirtyFive,student35@plv.edu.ph,2005-11-05,Bachelor of Science in Information Technology,3-1
2023-0036,Student ThirtySix,student36@plv.edu.ph,2005-12-06,Bachelor of Science in Information Technology,3-1
2023-0037,Student ThirtySeven,student37@plv.edu.ph,2005-01-07,Bachelor of Science in Information Technology,3-1
2023-0038,Student ThirtyEight,student38@plv.edu.ph,2005-02-08,Bachelor of Science in Information Technology,3-1
2023-0039,Student ThirtyNine,student39@plv.edu.ph,2005-03-09,Bachelor of Science in Information Technology,3-1
2023-0040,Student Forty,student40@plv.edu.ph,2005-04-10,Bachelor of Science in Information Technology,3-1
2023-0041,Student FortyOne,student41@plv.edu.ph,2005-05-11,Bachelor of Science in Information Technology,3-1
2023-0042,Student FortyTwo,student42@plv.edu.ph,2005-06-12,Bachelor of Science in Information Technology,3-1
2023-0043,Student FortyThree,student43@plv.edu.ph,2005-07-13,Bachelor of Science in Information Technology,3-1
2023-0044,Student FortyFour,student44@plv.edu.ph,2005-08-14,Bachelor of Science in Information Technology,3-1
2023-0045,Student FortyFive,student45@plv.edu.ph,2005-09-15,Bachelor of Science in Information Technology,3-1
2023-0046,Student FortySix,student46@plv.edu.ph,2005-10-16,Bachelor of Science in Information Technology,3-1
2023-0047,Student FortySeven,student47@plv.edu.ph,2005-11-17,Bachelor of Science in Information Technology,3-1
2023-0048,Student FortyEight,student48@plv.edu.ph,2005-12-18,Bachelor of Science in Information Technology,3-1
2023-0049,Student FortyNine,student49@plv.edu.ph,2005-01-19,Bachelor of Science in Information Technology,3-1
2023-0050,Student Fifty,student50@plv.edu.ph,2005-02-20,Bachelor of Science in Information Technology,3-1
