student_no,full_name,email,department,section,grade,course,subject_code,semester,school_year,faculty_id
2023-0001,Student One,student1@plv.edu.ph,Bachelor of Science in Information Technology,3-1,95,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0002,Student Two,student2@plv.edu.ph,Bachelor of Science in Information Technology,3-1,88,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0003,Student Three,student3@plv.edu.ph,Bachelor of Science in Information Technology,3-1,92,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0004,Student Four,student4@plv.edu.ph,Bachelor of Science in Information Technology,3-1,85,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0005,Student Five,student5@plv.edu.ph,Bachelor of Science in Information Technology,3-1,98,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0006,Student Six,student6@plv.edu.ph,Bachelor of Science in Information Technology,3-1,91,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0007,Student Seven,student7@plv.edu.ph,Bachelor of Science in Information Technology,3-1,89,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0008,Student Eight,student8@plv.edu.ph,Bachelor of Science in Information Technology,3-1,94,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0009,Student Nine,student9@plv.edu.ph,Bachelor of Science in Information Technology,3-1,87,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0010,Student Ten,student10@plv.edu.ph,Bachelor of Science in Information Technology,3-1,96,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0011,Student Eleven,student11@plv.edu.ph,Bachelor of Science in Information Technology,3-1,82,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0012,Student Twelve,student12@plv.edu.ph,Bachelor of Science in Information Technology,3-1,93,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0013,Student Thirteen,student13@plv.edu.ph,Bachelor of Science in Information Technology,3-1,90,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0014,Student Fourteen,student14@plv.edu.ph,Bachelor of Science in Information Technology,3-1,86,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0015,Student Fifteen,student15@plv.edu.ph,Bachelor of Science in Information Technology,3-1,97,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0016,Student Sixteen,student16@plv.edu.ph,Bachelor of Science in Information Technology,3-1,88,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0017,Student Seventeen,student17@plv.edu.ph,Bachelor of Science in Information Technology,3-1,91,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0018,Student Eighteen,student18@plv.edu.ph,Bachelor of Science in Information Technology,3-1,95,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0019,Student Nineteen,student19@plv.edu.ph,Bachelor of Science in Information Technology,3-1,84,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0020,Student Twenty,student20@plv.edu.ph,Bachelor of Science in Information Technology,3-1,99,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0021,Student TwentyOne,student21@plv.edu.ph,Bachelor of Science in Information Technology,3-1,89,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0022,Student TwentyTwo,student22@plv.edu.ph,Bachelor of Science in Information Technology,3-1,92,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0023,Student TwentyThree,student23@plv.edu.ph,Bachelor of Science in Information Technology,3-1,85,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0024,Student TwentyFour,student24@plv.edu.ph,Bachelor of Science in Information Technology,3-1,96,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0025,Student TwentyFive,student25@plv.edu.ph,Bachelor of Science in Information Technology,3-1,87,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0026,Student TwentySix,student26@plv.edu.ph,Bachelor of Science in Information Technology,3-1,93,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
