
þöstudent_no,full_name,email,date_of_birth,department,section,grade,course,semester,school_year
MOCK-tudent1,Juan Dela Cruz,mock.student1@plv.edu.ph,2005-05-15,Bachelor of Science in Computer Science,3-1,95,Bachelor of Science in Computer Science,2nd Semester,2024
MOCK-tudent2,Maria Santos,mock.student2@plv.edu.ph,2004-06-20,Bachelor of Science in Civil Engineering,3-1,95,Bachelor of Science in Civil Engineering,2nd Semester,2024
MOCK-tudent3,Pedro Reyes,mock.student3@plv.edu.ph,2005-03-10,Bachelor of Science in Information Technology,3-1,95,Bachelor of Science in Information Technology,2nd Semester,2024
MOCK-tudent4,Ana Lopez,mock.student4@plv.edu.ph,2003-11-25,Bachelor of Science in Computer Science,3-1,95,Bachelor of Science in Computer Science,2nd Semester,2024
MOCK-tudent5,Jose Garcia,mock.student5@plv.edu.ph,2004-08-05,Bachelor of Science in Computer Science,3-1,95,Bachelor of Science in Computer Science,2nd Semester,2024
MOCK-tudent6,Luz Mendoza,mock.student6@plv.edu.ph,2005-01-12,Bachelor of Science in Computer Science,3-1,95,Bachelor of Science in Computer Science,2nd Semester,2024
MOCK-tudent7,Carlo Torres,mock.student7@plv.edu.ph,2003-07-30,Bachelor of Science in Civil Engineering,3-1,95,Bachelor of Science in Civil Engineering,2nd Semester,2024
MOCK-tudent8,Sofia Ramos,mock.student8@plv.edu.ph,2004-04-18,Bachelor of Science in Information Technology,3-1,95,Bachelor of Science in Information Technology,2nd Semester,2024
MOCK-tudent9,Miguel Lim,mock.student9@plv.edu.ph,2005-12-22,Bachelor of Science in Computer Science,3-1,95,Bachelor of Science in Computer Science,2nd Semester,2024
MOCK-udent10,Nina Tan,mock.student10@plv.edu.ph,2003-09-08,Bachelor of Science in Computer Science,3-1,95,Bachelor of Science in Computer Science,2nd Semester,2024
ö